campaign_id;campaign_name;target_product;budget_allocated_rub;attributed_orders;attributed_revenue_rub;aov_rub;romi_attr_%;incremental_revenue_rub;romi_inc_%
camp_bigtech_internships;Кампания «Стажировки и отборы в BigTech»;Курсы ПРО & Разборы отборов;90000;201;1981092.0;9856.18;2101.2;1599714.5;1677.5
camp_pro_ai_ml;Кампания «Флагманы AI/ML и ПРО»;Линейка ПРО и AI-агенты;120000;153;1524933.0;9966.88;1170.8;1034590.5;762.2
camp_start_discount_55;Кампания «Финальная распродажа СТАРТ -55%»;Линейка СТАРТ;45000;144;1101026.67;7646.02;2346.7;828614.17;1741.4
camp_free_analytics_nosql;Кампания «Лид-магниты / Интенсивы (Аналитика вне SQL)»;Аналитика вне SQL / Хакатон;30000;40;441675.0;11041.88;1372.2;223745.0;645.8
camp_warmup;Прогревы и экспертный контент;Бренд / Карьерные гайды;15000;90;855945.0;9510.5;5606.3;0.0;-100.0
